Job ID,Job Title,Company Name,Footer Placeholder Label,Tags and Skills,Experience,Salary,Location,Job Description,Scraped Date,Min Salary,Max Salary,Min Experience,Max Experience,Posted Days Ago
010425006985,interior designer,chie design,1 day ago,"Sketchup, AutoCAD, Photoshop, VRAY, 3Ds Max, 3D Studio Max, 3D, Interiors",0 5 yrs,1 75 5 lacs pa,mumbai all areas,"create drawings in cad as per project stages c make models,renders in photoshop,google sketchup d make boqs,tenders in ms office e make moms of meetings held with clients contractors f modify,update,improve or tweak the presentations,workings,boqs,tenders regularly material selection shopping as may be required a",2025 04 03,7500000.0,500000.0,0.0,5.0,1
020425022205,interior designer,livspace,1 day ago,"Interior Designing, Interior Architecture, Modular Kitchen, Interiors, Residential Interior, interior, Residential, Architecture",2 7 yrs,not disclosed,pune kharadi 1,"job description as an interior designer, you should have excellent creative thinking skills and be able to create designs based on conversations with a client you should be confident communicating regularly with clients in order to assess their needs and be able to adjust a given approach based on feedback you should maintain familiarity with the interior design landscape and trends in order to provide the best idea for the client to own the sales funnel drive sales closure to own customer experience during a project to lead and own quality accuracy of design deliverables to own an end to end project lifecycle expertise and qualifications graduation relevant diploma 15 years of academic education minimum experience of 3 years as an interior designer led and delivered minimum 5 to 6 turnkey full home residential projects holds excellent knowledge of design tools, ppt presentation, autocad holds design expertise in conceptual design layout, style, moodboard technical design material knowledge, execution and drawing preparation modular design material knowledge, aesthetics functionality, module planning civil works services specifications installation details holds project expertise in creating boq for customers, coordinating with internal external agencies holds sales expertise in sales closure by way of logical trusted sales pitch, driving and leading the design meetings with the customers holds behavioural attributes result oriented, team player, integrity ethics, crisp meaningful communication holds a high degree of willingness to learn, ability to drive performance among independent team members",2025 04 03,Not Specified,Not Specified,2.0,7.0,1
010425501448,interior designer autocad designer,mantras2success consultants,1 day ago,"Civil, Compliance, AutoCAD, Project documentation, Architectural design, Civil engineering, CAD CAM, Documentation",0 3 yrs,not disclosed,ahmedabad,"requires a strong understanding of drafting principles, technical drawings, and precision in creating detailed schematics for various projects key responsibilities create, modify, and maintain 2d drawings using autocad software interpret and translate design concepts and specifications into technical drawings ensure accuracy and compliance with industry standards and project requirements work closely with engineers, architects, and other team members to understand project needs maintain organized records of drawings and project documentation review and revise drawings based on feedback and project modifications assist in preparing layout designs, schematics, and detailed plans ensure timely completion of drafting tasks within project deadlines experience with autocad, sketchup and similar software required skills qualifications minimum 1 year of hands on experience with autocad design diploma degree in civil engineering, drafting, or a related field strong understanding of drafting techniques and technical drawings knowledge of industry standards and best practices in cad drafting excellent attention to detail and accuracy ability to interpret technical drawings and specifications good communication and teamwork skills ability to handle multiple projects and meet deadlines key skills autocad civil architectural design cad cam autocad",2025 04 03,Not Specified,Not Specified,0.0,3.0,1
210325017269,interior designer,axii design consultants,12 days ago,"Presentation Skills, Working Drawings, Detail Drawings, Concept Design, Interior Designing, Design Development, Site Visit, Detailing",0 2 yrs,not disclosed,pune bavdhan,interior designer bachelors diploma in interior designingfreshers or minimum 0 2 years of experience in both commercial residential interior projects fluency in english and marathi with excellent written and oral communication skills is a must should be well versed in all the relevant latest softwares in interior designing,2025 04 03,Not Specified,Not Specified,0.0,2.0,12
190325002922,interior designer,uplife design furniture,15 days ago,"AutoCAD, Sketchup, Drafting, 3D Rendering, Design, Rendering, Interior designing, 3D",0 2 yrs,not disclosed,pune bavdhan,"undertaking design projects from concept to completion, defining project requirements and schedule during the brief, interpreting and translating customer needs into plans, coordinating finalized details within the team we are looking for a details oriented candidate with a passion of creating beautiful and functional spaces this role involves collaborating with clients, architects to bring design visuals to life",2025 04 03,Not Specified,Not Specified,0.0,2.0,15
200325004885,interior designer,tejomaya architects and interior designers,14 days ago,"Sketchup, Design, AutoCAD, architectural design, Residential, Rendering, Detailing, Interiors",1 5 yrs,not disclosed,pune koregaon park,"architect interior designer must have minimum 5 years experience with a reputed firm,especially in luxury residential architecture and interiors design,architecture experience in designing and executing large bungalow projects large residential apartment interiors should have experience of 5 years and above in designing and executing large apartment bungalow projects",2025 04 03,Not Specified,Not Specified,1.0,5.0,14
280325022532,interior designer fresher,rba interior designers,5 days ago,"Sketchup, English, Marathi, Hindi, VRAY, Design, Interior designing, Interiors",0 3 yrs,1 44 3 lacs pa,pune,"rba is seeking a talented and motivated interior designer fresher to join our dynamic team if you have a keen eye for design, are detail oriented, and eager to learn, we want to hear from you",2025 04 03,4400000.0,300000.0,0.0,3.0,5
010425015049,interior designer,"dr d y patil educational complex, akurdi pune",1 day ago,"Interior Decoration, Interior Designer, Interior Architecture, Design, Architecture, Interior designing, Interiors",5 10 yrs,not disclosed,pune akurdi,provide innovative and functional solutions to maximize space efficiency qualification bachelors degree or diploma in interior design or a related fieldminimum 5 years of experience in interior design,2025 04 03,Not Specified,Not Specified,5.0,10.0,1
280325012605,interior designer,broachwala enterprises,5 days ago,"Interior Designing, Sketchup, enscape, design detailing, AutoCAD 3D, communication, VRAY, Detailing",0 yrs,3 3 5 lacs pa,chennai adyar,preferred candidate profile experience in modular kitchen works experienced in factory finished working with good knowledge of 3d and 2d,2025 04 03,300000.0,500000.0,0.0,0.0,5
020425006985,interior designer,nobroker,1 day ago,"Sketchup, Modular Kitchen, Modular Furniture, Residential, Interiors, VRAY, Interior designing, Furniture",1 6 yrs,3 6 lacs pa,bengaluru kasavanahalli,"about the company nobroker is indias first and only proptech unicorn with a disruptive tech based, capital efficientbusiness model we use technology in the real estate space to help customers buy sell rent a propertyseamlessly by eliminating third party brokers involvement and brokerage we assist our stakeholders inreducing 90 of transaction cost by connecting property owners and tenants, buyers and sellers directlywith the help of ai driven technology our mission is to make real estate transactions streamlined,convenient and brokerage free foreveryone across india with a cumulative 1 5 crore customers, it has grown 10x in the last two years with five rounds of funding of 361 mn, it is well funded by key us, indian, japanese and koreaninvestors like tiger global, general atlantic, saif partners, moore strategic ventures ktb ventures andbeenext it is headquartered in bangalore with a team of 5,000 people responsibilities candidate should have an exceptional designer skills with strong conceptual skills someone who is hard working or very keen to work on an amazing high end and high profile residential candidate should be able to manage and develop projects from concept stages through to finalinstallation as an interior designer at nobroker, your responsibilities will range from client front end, briefunderstanding and validation to design project development and coordination from concept to installationstages candidate will work closely with design lead, installation partners, project managers and suppliers inorder to deliver to nobroker customers the best interior design experience of their life requirement candidate should have strong verbal and written english communication skills, ability to conveycomplex ideas effectively and efficiently candidate should have a minimum 1 years experience in residential interior design candidate should have a strong understanding and demonstrated aptitude for design principles candidate should have extreme attention to detail and a no compromise attitude towards quality candidate should have excellent knowledge of google sketchup, v ray enscape, etc candidate should have a registered diploma or degree in interior design or architecture",2025 04 03,300000.0,600000.0,1.0,6.0,1
